StationNumber;ForkLengthinmillimeters;Location
33;94;other_site_by_the_river
33;94;other_site_by_the_river
33;96;other_site_by_the_river
33;96;other_site_by_the_river
33;97;other_site_by_the_river
33;97;other_site_by_the_river
33;97;other_site_by_the_river
33;100;other_site_by_the_river
33;101;other_site_by_the_river
33;102;other_site_by_the_river
33;102;other_site_by_the_river
33;103;other_site_by_the_river
33;103;other_site_by_the_river
33;105;other_site_by_the_river
33;105;other_site_by_the_river
33;106;other_site_by_the_river
33;109;other_site_by_the_river
34;91;other_site_by_the_river
34;98;other_site_by_the_river
34;98;other_site_by_the_river
34;98;other_site_by_the_river
34;102;other_site_by_the_river
34;104;other_site_by_the_river
34;104;other_site_by_the_river
35;87;other_site_by_the_river
35;90;other_site_by_the_river
35;90;other_site_by_the_river
35;93;other_site_by_the_river
35;95;other_site_by_the_river
35;97;other_site_by_the_river
35;101;other_site_by_the_river
35;102;other_site_by_the_river
35;106;other_site_by_the_river
35;106;other_site_by_the_river
35;106;other_site_by_the_river
35;108;other_site_by_the_river
35;110;other_site_by_the_river
35;111;other_site_by_the_river
35;115;other_site_by_the_river
35;118;other_site_by_the_river
36;87;other_site_by_the_river
36;90;other_site_by_the_river
36;90;other_site_by_the_river
36;106;other_site_by_the_river
36;106;other_site_by_the_river
36;110;other_site_by_the_river
36;115;other_site_by_the_river
37;64;other_site_by_the_river
37;71;other_site_by_the_river
37;72;other_site_by_the_river
37;75;other_site_by_the_river
37;75;other_site_by_the_river
37;83;other_site_by_the_river
37;87;other_site_by_the_river
37;87;other_site_by_the_river
37;96;other_site_by_the_river
37;97;other_site_by_the_river
37;97;other_site_by_the_river
37;98;other_site_by_the_river
