StationNumber;ForkLengthinmillimeters;Location
21;95;other_site_by_the_river
21;96;other_site_by_the_river
21;96;other_site_by_the_river
21;96;other_site_by_the_river
21;98;other_site_by_the_river
21;98;other_site_by_the_river
21;99;other_site_by_the_river
21;99;other_site_by_the_river
21;99;other_site_by_the_river
21;99;other_site_by_the_river
21;100;other_site_by_the_river
21;100;other_site_by_the_river
21;100;other_site_by_the_river
21;100;other_site_by_the_river
21;100;other_site_by_the_river
21;101;other_site_by_the_river
21;101;other_site_by_the_river
21;102;other_site_by_the_river
21;102;other_site_by_the_river
21;103;other_site_by_the_river
21;103;other_site_by_the_river
21;104;other_site_by_the_river
21;104;other_site_by_the_river
21;104;other_site_by_the_river
21;104;other_site_by_the_river
21;105;other_site_by_the_river
21;105;other_site_by_the_river
21;106;other_site_by_the_river
21;106;other_site_by_the_river
21;107;other_site_by_the_river
21;108;other_site_by_the_river
21;110;other_site_by_the_river
21;110;other_site_by_the_river
21;111;other_site_by_the_river
21;119;other_site_by_the_river
21;123;other_site_by_the_river
21;125;other_site_by_the_river
22;82;other_site_by_the_river
