y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,PLANT
0.8245999755859379,7.04095254929836,-7.255179354530818,7.349314939599981,-8.091490653240536,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,13.845117292054562,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8245999755859379,7.305232070348858,-7.255179354530818,7.349314939599981,-8.091765752753151,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,13.996351113739488,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8245999755859379,7.355504249584925,-7.255179354530818,7.349314939599981,-8.09197120641382,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,14.067755430329058,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8245999755859379,7.415792715305432,-7.255179354530818,7.349314939599981,-8.09205889373002,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,14.034567350550596,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8245999755859379,7.497487406740477,-7.255179354530818,7.349314939599981,-8.092056510897514,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,13.955626797148597,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8245999755859379,7.472966538796408,-7.255179354530818,7.349314939599981,-8.092216481250171,-9.328977545085115,-0.5052221167932496,-7.048740472870541,-10.21280993090978,14.073276034491016,-1.221191692849867,-1.6252704418932593,-1.7191733697795133,I
0.8284000244140629,4.959010241504166,-7.402125025770372,7.406899975786239,-8.094245807452596,-8.722489004146562,-0.2751497369240674,-8.071773916459392,-8.788231115385763,13.786095576018656,-1.200382793223642,-1.0978205651917792,-1.5827318442176268,I
0.8284000244140629,5.202768673566294,-7.402125025770372,7.406899975786239,-8.093851594319652,-8.722489004146562,-0.2751497369240674,-8.071773916459392,-8.788231115385763,13.871845594464007,-1.200382793223642,-1.0978205651917792,-1.5827318442176268,I
0.8284000244140629,5.455079700017139,-7.402125025770372,7.406899975786239,-8.093584321762949,-8.722489004146562,-0.2751497369240674,-8.071773916459392,-8.788231115385763,13.882582897890948,-1.200382793223642,-1.0978205651917792,-1.5827318442176268,I
0.8315,5.530972973202878,-7.744998550617767,7.475453590293692,-8.154373158859693,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.463066744529488,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,5.365288611422825,-7.744998550617767,7.475453590293692,-8.162774267891944,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.687352802200433,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,5.254364121046223,-7.744998550617767,7.475453590293692,-8.166591561468731,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.432102341571515,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,5.373586191212233,-7.744998550617767,7.475453590293692,-8.16704361447682,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.333463190832148,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,5.2440724937273675,-7.744998550617767,7.475453590293692,-8.167238768775212,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.19875935716318,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,5.254595210128277,-7.744998550617767,7.475453590293692,-8.167225656566087,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.203416493488888,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.624652689402983,-7.744998550617767,7.475453590293692,-8.152521203399472,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,13.961392769510486,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.729303086468648,-7.744998550617767,7.475453590293692,-8.130145256453266,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,13.91021309555461,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.805382161040249,-7.744998550617767,7.475453590293692,-8.131157391720258,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,13.755015946704646,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.978744075656376,-7.744998550617767,7.475453590293692,-8.131648215577613,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.327045846712668,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.817562190676227,-7.744998550617767,7.475453590293692,-8.131038712480064,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.287179431830795,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
0.8315,6.8208994194343155,-7.744998550617767,7.475453590293692,-8.13106598691396,-9.238004263944333,-0.6586037033727079,-10.117840803637092,-8.724912636945183,14.230725071801109,-0.9818893471482645,-0.9190239968183972,-1.6130521832313773,I
